,Unnamed: 0,Name,Type,Studio,Genres
173,173,Kobayashi-san Chi no Maid Dragon S,TV,['Kyoto Animation'],"['Comedy', 'Fantasy', 'Slice of Life']"
174,174,Kotarou wa Hitorigurashi,ONA,['LIDENFILMS'],"['Comedy', 'Slice of Life']"
175,175,Baccano!,TV,"[""Brain's Base""]","['Action', 'Comedy', 'Mystery', 'Supernatural']"
176,176,Cowboy Bebop: Tengoku no Tobira,Movie,['Bones'],"['Action', 'Sci-Fi']"
177,177,Holo no Graffiti,ONA,['Hololive Production'],['Comedy']
178,178,Kamisama Hajimemashita: Kako-hen,OVA,['TMS Entertainment'],"['Comedy', 'Fantasy', 'Romance', 'Supernatural']"
179,179,Kimetsu no Yaiba: Mugen Ressha-hen,TV,['ufotable'],"['Action', 'Fantasy']"
180,180,Kizumonogatari I: Tekketsu-hen,Movie,['Shaft'],['None']
181,181,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie,['Shaft'],"['Drama', 'Suspense']"
182,182,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV,['White Fox'],"['Drama', 'Fantasy', 'Suspense']"
183,183,Usagi Drop,TV,['Production I.G'],['Slice of Life']
184,184,Mushoku Tensei: Isekai Ittara Honki Dasu,TV,['Studio Bind'],"['Drama', 'Fantasy', 'Ecchi']"
185,185,Kaze no Tani no Nausicaä,Movie,['Topcraft'],"['Adventure', 'Fantasy']"
186,186,Bakuman. 2nd Season,TV,['J.C.Staff'],"['Comedy', 'Drama', 'Romance']"
187,187,Haikyuu!! To the Top,TV,['Production I.G'],['Sports']
188,188,Hellsing Ultimate,OVA,"['Madhouse', '            Satelight', '            Graphinica']","['Action', 'Horror', 'Supernatural']"
189,189,Kingdom 2nd Season,TV,['Studio Pierrot'],['Action']
190,190,Mahou Shoujo Madoka★Magica,TV,['Shaft'],"['Drama', 'Suspense']"
191,191,Doupo Cangqiong: San Nian Zhi Yue,ONA,['Motion Magic'],"['Action', 'Fantasy']"
192,192,Gintama: Shiroyasha Koutan,Special,['Sunrise'],"['Action', 'Comedy', 'Sci-Fi']"
193,193,Given,TV,['Lerche'],"['Boys Love', 'Drama', 'Romance', 'Slice of Life']"
194,194,Gotcha!,Music,['Bones'],['Fantasy']
195,195,Kiseijuu: Sei no Kakuritsu,TV,['Madhouse'],"['Action', 'Horror', 'Sci-Fi']"
196,196,Made in Abyss Movie 2: Hourou Suru Tasogare,Movie,['Kinema Citrus'],"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']"
197,197,Paripi Koumei,TV,['P.A. Works'],['None']
198,198,Psycho-Pass,TV,['Production I.G'],"['Action', 'Sci-Fi', 'Suspense']"
199,199,Major S6,TV,['SynergySP'],"['Comedy', 'Drama', 'Sports']"
200,200,Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA,"[""Brain's Base""]","['Drama', 'Slice of Life', 'Supernatural']"
201,201,Neon Genesis Evangelion,TV,"['Gainax', '            Tatsunoko Production']","['Action', 'Avant Garde', 'Drama', 'Sci-Fi']"
202,202,One Outs,TV,['Madhouse'],['Sports']
203,203,Uchuu Senkan Yamato 2199,OVA,"['Xebec', '            AIC']","['Action', 'Drama', 'Sci-Fi']"
204,204,Versailles no Bara,TV,['Tokyo Movie Shinsha'],"['Drama', 'Romance']"
205,205,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,['A-1 Pictures'],"['Drama', 'Slice of Life', 'Supernatural']"
206,206,Bakemonogatari,TV,['Shaft'],"['Mystery', 'Romance', 'Supernatural']"
207,207,Fruits Basket: Prelude,Movie,['TMS Entertainment'],"['Drama', 'Romance', 'Slice of Life']"
208,208,K-On! Movie,Movie,['Kyoto Animation'],"['Comedy', 'Slice of Life']"
209,209,Katanagatari,TV,['White Fox'],"['Action', 'Adventure', 'Romance']"
210,210,Kemono no Souja Erin,TV,"['Production I.G', '            Trans Arts']","['Drama', 'Fantasy', 'Slice of Life']"
211,211,Mobile Suit Gundam: The Origin,OVA,['Sunrise'],"['Action', 'Sci-Fi']"
212,212,Ookami to Koushinryou II,TV,"[""Brain's Base"", '            Marvy Jack']","['Adventure', 'Fantasy', 'Romance']"
213,213,Romeo no Aoi Sora,TV,['Nippon Animation'],"['Adventure', 'Drama', 'Slice of Life']"
214,214,Natsume Yuujinchou,TV,"[""Brain's Base""]","['Drama', 'Slice of Life', 'Supernatural']"
215,215,Natsume Yuujinchou Go Specials,Special,['Shuka'],"['Drama', 'Slice of Life', 'Supernatural']"
216,216,NHK ni Youkoso!,TV,['Gonzo'],"['Comedy', 'Drama', 'Romance']"
217,217,Sakamichi no Apollon,TV,"['Tezuka Productions', '            MAPPA']","['Drama', 'Romance']"
218,218,Tenki no Ko,Movie,['CoMix Wave Films'],"['Drama', 'Fantasy', 'Romance', 'Slice of Life']"
219,219,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Special,['Kyoto Animation'],"['Drama', 'Fantasy', 'Slice of Life']"
220,220,World Trigger 3rd Season,TV,['Toei Animation'],"['Action', 'Sci-Fi', 'Supernatural']"
221,221,Boku dake ga Inai Machi,TV,['A-1 Pictures'],['Mystery']
222,222,Evangelion: 2.0 You Can (Not) Advance,Movie,['Khara'],"['Action', 'Drama', 'Sci-Fi']"
223,223,Fate/stay night: Unlimited Blade Works 2nd Season,TV,['ufotable'],"['Action', 'Fantasy', 'Supernatural']"
224,224,Kawaki wo Ameku,Music,['None'],['None']
225,225,"Komi-san wa, Comyushou desu. 2nd Season",TV,['OLM'],"['Comedy', 'Drama', 'Slice of Life']"
226,226,Doukyuusei (Movie),Movie,['A-1 Pictures'],"['Boys Love', 'Romance', 'Slice of Life']"
227,227,Hotarubi no Mori e,Movie,"[""Brain's Base""]","['Drama', 'Romance', 'Supernatural']"
228,228,Hunter x Hunter: Original Video Animation,OVA,['Nippon Animation'],"['Action', 'Adventure', 'Fantasy']"
229,229,Initial D First Stage,TV,"['Gallop', '            Studio Comet']","['Action', 'Drama']"
230,230,Kuroko no Basket 3rd Season,TV,['Production I.G'],['Sports']
231,231,Major: World Series,OVA,['SynergySP'],"['Comedy', 'Drama', 'Sports']"
232,232,Shelter (Music),Music,['A-1 Pictures'],['Sci-Fi']
233,233,Shinsekai yori,TV,['A-1 Pictures'],"['Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Supernatural']"
234,234,Tensei shitara Slime Datta Ken 2nd Season Part 2,TV,['8bit'],"['Action', 'Adventure', 'Comedy', 'Fantasy']"
235,235,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,"['Gallop', '            Studio Deen']","['Action', 'Adventure', 'Comedy', 'Romance']"
236,236,Shirobako,TV,['P.A. Works'],"['Comedy', 'Drama']"
237,237,Steins;Gate: Oukoubakko no Poriomania,Special,['White Fox'],"['Comedy', 'Sci-Fi']"
238,238,Beck,TV,['Madhouse'],"['Comedy', 'Drama', 'Slice of Life']"
239,239,Detective Conan Movie 06: The Phantom of Baker Street,Movie,['TMS Entertainment'],"['Adventure', 'Mystery']"
240,240,Diamond no Ace: Second Season,TV,"['Production I.G', '            Madhouse']",['Sports']
241,241,Dr. Stone,TV,['TMS Entertainment'],"['Adventure', 'Comedy', 'Sci-Fi']"
242,242,Fate/Zero,TV,['ufotable'],"['Action', 'Fantasy', 'Supernatural']"
243,243,Hibike! Euphonium 2,TV,['Kyoto Animation'],['Drama']
244,244,Kino no Tabi: The Beautiful World,TV,['A.C.G.T.'],"['Action', 'Adventure', 'Slice of Life']"
245,245,Ashita no Joe,TV,['Mushi Production'],"['Action', 'Drama', 'Slice of Life', 'Sports']"
246,246,Gintama: Shinyaku Benizakura-hen,Special,['Sunrise'],"['Action', 'Comedy', 'Sci-Fi']"
247,247,Tsubasa: Tokyo Revelations,OVA,['Production I.G'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']"
248,248,Nodame Cantabile,TV,['J.C.Staff'],"['Comedy', 'Drama', 'Romance', 'Slice of Life']"
249,249,Redline,Movie,['Madhouse'],"['Action', 'Sci-Fi']"
250,250,Sasaki to Miyano,TV,['Studio Deen'],"['Boys Love', 'Slice of Life']"
251,251,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,['CloverWorks'],"['Comedy', 'Drama', 'Romance', 'Supernatural']"
252,252,Stranger: Mukou Hadan,Movie,['Bones'],"['Action', 'Adventure']"
253,253,Tokyo Godfathers,Movie,['Madhouse'],"['Comedy', 'Drama']"
254,254,Bakemono no Ko,Movie,['Studio Chizu'],"['Adventure', 'Supernatural']"
255,255,Gin no Saji 2nd Season,TV,['A-1 Pictures'],"['Comedy', 'Slice of Life']"
256,256,Gyakkyou Burai Kaiji: Ultimate Survivor,TV,['Madhouse'],['Suspense']
